iter	Passed	Remaining
593	24033	56887
594	24081	56865
595	24122	56826
596	24161	56780
597	24186	56704
598	24232	56676
599	24257	56600
600	24293	56550
601	24339	56522
602	24391	56510
603	24429	56463
604	24473	56431
605	24501	56362
606	24551	56343
607	24582	56280
608	24621	56236
609	24646	56161
610	24691	56132
611	24717	56057
612	24752	56006
613	24787	55953
614	24830	55919
615	24858	55851
616	24898	55808
617	24924	55737
618	24961	55688
619	25004	55654
620	25043	55611
621	25080	55563
622	25116	55514
623	25168	55499
624	25209	55460
625	25235	55388
626	25284	55368
627	25312	55300
628	25348	55251
629	25374	55179
630	25409	55127
631	25436	55057
632	25471	55007
633	25498	54938
634	25549	54921
635	25575	54849
636	25611	54802
637	25644	54744
638	25689	54716
639	25723	54662
640	25773	54642
641	25800	54575
642	25848	54552
643	25875	54483
644	25928	54470
645	25957	54405
646	26003	54377
647	26032	54314
648	26070	54270
649	26101	54211
650	26143	54175
651	26171	54109
652	26224	54095
653	26251	54028
654	26287	53980
655	26316	53916
656	26364	53892
657	26391	53826
658	26428	53779
659	26472	53746
660	26499	53681
661	26537	53635
662	26581	53604
663	26620	53561
664	26647	53495
665	26689	53459
666	26721	53403
667	26762	53364
668	26793	53307
669	26835	53270
670	26862	53203
671	26912	53183
672	26939	53119
673	26981	53081
674	27010	53020
675	27054	52987
676	27082	52925
677	27126	52892
678	27155	52830
679	27206	52813
680	27234	52748
681	27272	52705
682	27298	52637
683	27350	52621
684	27399	52599
685	27450	52579
686	27480	52521
687	27519	52479
688	27547	52415
689	27585	52372
690	27614	52310
691	27659	52282
692	27686	52215
693	27721	52167
694	27747	52102
695	27796	52077
696	27825	52017
697	27864	51975
698	27894	51918
699	27935	51880
700	27967	51825
701	28021	51812
702	28063	51775
703	28100	51731
704	28142	51694
705	28200	51687
706	28244	51655
707	28292	51630
708	28338	51601
709	28388	51579
710	28434	51549
711	28483	51526
712	28528	51495
713	28578	51473
714	28617	51431
715	28707	51481
716	28750	51446
717	28805	51432
718	28852	51405
719	28899	51376
720	28930	51319
721	28972	51283
722	29008	51236
723	29049	51198
724	29079	51140
725	29118	51097
726	29150	51043
727	29189	51001
728	29219	50943
729	29259	50902
730	29294	50854
731	29335	50816
732	29373	50771
