iter	Kappa	MultiClass
359	0.4843730586	0.5906691399
360	0.4847304426	0.5905990884
361	0.484957205	0.5905455825
362	0.4852425902	0.5904737123
363	0.4851910272	0.5903699345
364	0.4847304426	0.5903046031
365	0.4843783028	0.5901803248
366	0.4849956708	0.5900908576
367	0.4850236602	0.5900065257
368	0.4848485438	0.5897706025
369	0.4848703987	0.5896486416
370	0.4855424546	0.5894931421
371	0.4860031277	0.5893646384
372	0.4858443813	0.5891667069
373	0.48674318	0.5890361258
374	0.4866028595	0.5888245038
375	0.4869622297	0.5886542392
376	0.4870688582	0.5885146183
377	0.4871833229	0.5884027119
378	0.48769108	0.5882327579
379	0.4878403932	0.588141324
380	0.4882066616	0.5880761933
381	0.4881626795	0.5879739875
382	0.4888798757	0.5878032029
383	0.4890350617	0.5877494809
384	0.4888609997	0.5876628973
385	0.4892497842	0.5874996062
386	0.489479338	0.5873058519
387	0.4899791298	0.5871105085
388	0.4902082408	0.5870228959
389	0.4907096538	0.5869281678
390	0.4905453596	0.5868615958
391	0.4906663618	0.5867632831
392	0.491321299	0.586621703
393	0.4909504834	0.5864728401
394	0.4909959604	0.5862742627
395	0.4908320218	0.5861204609
396	0.4908873282	0.5860318347
397	0.4911816792	0.5858560179
398	0.491266303	0.5857578834
399	0.4912938997	0.5856581165
400	0.4912956204	0.5855419124
401	0.4916760388	0.5853999323
402	0.4918199927	0.5852901305
403	0.4917907192	0.5851100422
404	0.4918380641	0.5850087093
405	0.4915594077	0.5849314695
406	0.4915463364	0.5848848818
407	0.4915101712	0.5848124205
408	0.4915255011	0.584629921
409	0.4918548656	0.5845867256
410	0.4924639127	0.5844414673
411	0.492557635	0.5843361578
412	0.4927691025	0.5842090617
413	0.4926599787	0.5840569947
414	0.4931439442	0.5839421464
415	0.4931731361	0.5838570655
416	0.4936664124	0.5837562114
417	0.4935184233	0.5836883103
418	0.4932953986	0.5835971636
419	0.4930886158	0.5834362227
420	0.4936729437	0.5832576187
421	0.4941973579	0.5831232736
422	0.4948992372	0.5829100927
423	0.4947722233	0.5828140533
424	0.4945782109	0.5826815203
425	0.4948404412	0.5825742823
426	0.4948941149	0.5824656704
427	0.4949266187	0.5823753169
428	0.4951984464	0.5822543052
429	0.4950585732	0.5821944513
430	0.4955372483	0.5820763857
431	0.4962535095	0.5819401689
432	0.4959345706	0.5818491268
433	0.4958791599	0.5817207255
434	0.4961102573	0.5815740052
435	0.4959738193	0.5815275904
436	0.4961153666	0.5814259768
437	0.4955585926	0.5813102434
438	0.4959755229	0.5811691647
439	0.496226202	0.5810777357
440	0.4962201931	0.580977973
441	0.4962380925	0.5808937846
442	0.4964956586	0.5807915489
443	0.4973567018	0.5806365768
444	0.4973832084	0.5805675215
445	0.497443912	0.5804556207
446	0.4978686002	0.5802694607
447	0.4976035161	0.5801899282
448	0.4977433962	0.5800864779
449	0.4981234539	0.5799446816
450	0.4984456167	0.5798413989
451	0.4982216656	0.5796522852
452	0.4983952166	0.5794804417
453	0.4992532947	0.5793698519
454	0.4994254251	0.5792563179
455	0.4995097909	0.5791975408
456	0.4999647012	0.5790603879
457	0.5000380401	0.5789796597
458	0.5001240858	0.5788922402
459	0.5001433467	0.5787780485
460	0.5008555601	0.5786647466
461	0.5009719575	0.5785497287
462	0.5013855609	0.5784491556
463	0.5015556592	0.5783097805
464	0.5015093762	0.5781467943
465	0.5021547391	0.5780002943
466	0.5023189931	0.5778554453
467	0.5021741142	0.5777594477
468	0.5025118692	0.5776898504
469	0.5024882737	0.5775378529
470	0.5025775325	0.577427695
471	0.5021539125	0.5773190583
472	0.5021614674	0.5771842312
473	0.5026264241	0.577008891
474	0.5027839251	0.5768878399
475	0.502750264	0.5766837452
476	0.5030872376	0.5765324028
477	0.5032287617	0.5763947883
478	0.503630271	0.5762503586
479	0.5039943099	0.5760974848
480	0.5043743858	0.5759156725
481	0.5049007516	0.5757721651
482	0.505362154	0.575652375
483	0.5052558019	0.5755590529
484	0.5052398925	0.5754797469
485	0.5056316577	0.575391522
486	0.5056014416	0.5752896108
487	0.5059639386	0.5751217817
488	0.5055282883	0.5749696914
489	0.505262487	0.5748770678
490	0.5053834916	0.5746822847
491	0.5058192922	0.5745684273
492	0.5056442118	0.5744150509
493	0.5057748076	0.5743436088
494	0.5062708297	0.5742335462
495	0.5060883813	0.5741411278
496	0.5065020023	0.5739967436
497	0.5072320191	0.5738498727
498	0.5074085227	0.5737491222
499	0.5076641418	0.5736209988
500	0.507307898	0.5735549641
501	0.5071363968	0.5734569437
502	0.5072314512	0.5733269658
503	0.5070491168	0.5732217306
504	0.5071764077	0.5731731339
505	0.5074669554	0.5730958245
506	0.5078089572	0.5730093229
507	0.5081983178	0.5728425453
508	0.5084586832	0.572797748
509	0.5084986344	0.5727506254
510	0.5084653835	0.5726730072
511	0.5084462668	0.5725895682
512	0.5088389082	0.5725113373
513	0.5090568602	0.572334877
514	0.5091999506	0.5722218081
515	0.5093741059	0.5721288725
516	0.50951226	0.5720622669
517	0.5099173313	0.5719096717
518	0.5094390412	0.5717589875
519	0.5097410502	0.5716939088
520	0.5095421345	0.571593925
521	0.509857954	0.5715178861
522	0.5107429616	0.571302353
523	0.5107901222	0.5711946387
524	0.5107582864	0.5710871687
525	0.5111927918	0.5709649358
526	0.5112800063	0.5708717999
527	0.5113714837	0.5707570457
528	0.5115525285	0.5706720966
529	0.5116922832	0.5705746075
530	0.5116537845	0.5704511373
